City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bairnsdale,-37.8333,147.6167,19.47,85,100,0.44,AU,1709154275
1,vilyuchinsk,52.9306,158.4028,-4.85,91,100,2.9,RU,1709154266
2,tiksi,71.6872,128.8694,-19.0,85,29,8.35,RU,1709154276
3,melur,10.05,78.3333,23.0,83,100,2.99,IN,1709154276
4,tuensang,26.2833,94.8333,12.26,76,34,0.87,IN,1709154277
5,waitangi,-43.9535,-176.5597,15.46,90,96,4.02,NZ,1709154277
6,port mathurin,-19.6833,63.4167,25.55,70,100,4.45,MU,1709154073
7,lecheng,25.1238,113.3254,8.76,97,100,1.68,CN,1709154278
8,selebi-phikwe,-21.979,27.8498,19.01,64,38,4.82,BW,1709154278
9,hadibu,12.65,54.0333,25.34,74,86,2.81,YE,1709154268
10,tazovsky,67.4667,78.7,-10.69,97,99,2.01,RU,1709154268
11,dzuunharaa,48.8523,106.4579,-23.38,97,91,1.7,MN,1709154269
12,grytviken,-54.2811,-36.5092,5.56,86,25,2.77,GS,1709154269
13,kadhan,24.481,68.9859,22.55,28,0,3.92,PK,1709154269
14,anadyr,64.75,177.4833,-23.72,70,0,6.0,RU,1709154269
15,port-aux-francais,-49.35,70.2167,8.4,98,100,12.74,TF,1709154269
16,olonkinbyen,70.9221,-8.7187,-8.96,67,100,10.62,SJ,1709154270
17,zhanibek,49.4167,46.85,-4.83,84,15,2.64,KZ,1709154270
18,camana,-16.6228,-72.7111,24.18,82,99,3.63,PE,1709154270
19,edinburgh of the seven seas,-37.0676,-12.3116,17.26,77,98,7.37,SH,1709154270
20,bemidji,47.4736,-94.8803,-11.16,49,0,6.17,US,1709154280
21,sitka,57.0531,-135.33,2.94,75,75,6.17,US,1709154280
22,yellowknife,62.456,-114.3525,-17.55,75,40,7.72,CA,1709154062
23,invercargill,-46.4,168.35,11.12,92,19,1.34,NZ,1709154281
24,blackmans bay,-43.0167,147.3167,20.41,70,99,3.94,AU,1709154281
25,khandyga,62.6667,135.6,-39.71,100,100,0.5,RU,1709154281
26,el calafate,-50.3408,-72.2768,14.48,55,77,5.51,AR,1709154281
27,bengkulu,-3.8004,102.2655,24.55,89,100,1.76,ID,1709154281
28,xai-xai,-25.0519,33.6442,22.66,80,55,6.52,MZ,1709154282
29,adamstown,-25.066,-130.1015,26.16,74,100,1.94,PN,1709154282
30,tolanaro,-25.0319,46.9987,26.04,94,40,6.17,MG,1709154282
31,port saint john's,-31.6229,29.5448,19.72,74,47,4.87,ZA,1709154282
32,aykhal,66.0,111.5,-22.85,100,100,3.28,RU,1709154283
33,kosikha,53.3617,84.5822,-10.83,92,26,4.98,RU,1709154283
34,al jawf,29.5,38.75,11.02,36,0,3.84,SA,1709154142
35,enewetak,11.3474,162.3373,26.63,74,77,8.16,MH,1709154283
36,hamilton,39.1834,-84.5333,3.84,59,20,7.72,US,1709153973
37,itoman,26.1247,127.6694,22.21,88,75,5.14,JP,1709154283
38,nagqu,31.5,92.0,-8.93,40,100,1.24,CN,1709154284
39,kourou,5.1552,-52.6478,29.03,69,96,4.34,GF,1709154284
40,christchurch,-43.5333,172.6333,15.51,84,100,1.54,NZ,1709154125
41,ust-nera,64.5667,143.2,-36.22,100,61,1.36,RU,1709154284
42,arraial do cabo,-22.9661,-42.0278,28.98,89,0,5.14,BR,1709154285
43,hilo,19.7297,-155.09,24.51,67,40,3.09,US,1709154285
44,martapura,-3.4167,114.85,26.05,94,40,1.54,ID,1709154285
45,concordia,-31.393,-58.0209,32.1,54,75,0.89,AR,1709154221
46,hermanus,-34.4187,19.2345,22.67,71,89,5.02,ZA,1709154285
47,bredasdorp,-34.5322,20.0403,19.16,86,94,3.74,ZA,1709154286
48,kanth,29.0667,78.6333,13.22,41,0,3.87,IN,1709154286
49,chonchi,-42.6128,-73.8092,17.56,55,70,0.72,CL,1709154286
50,poronaysk,49.2167,143.1167,-21.44,97,10,2.62,RU,1709154286
51,kratie,12.4881,106.0188,23.13,75,50,0.69,KH,1709154286
52,inirida,3.8653,-67.9239,33.09,42,97,1.61,CO,1709154287
53,papatowai,-46.5619,169.4708,13.72,58,7,1.41,NZ,1709154287
54,burg auf fehmarn,54.4333,11.2,5.03,89,61,5.23,DE,1709154287
55,thompson,55.7435,-97.8558,-21.91,45,0,2.06,CA,1709154047
56,mount gambier,-37.8333,140.7667,14.0,93,89,1.57,AU,1709154287
57,greenville,35.6127,-77.3663,24.09,52,100,0.89,US,1709153962
58,west island,-12.1568,96.8225,27.99,78,75,2.57,CC,1709154288
59,as sulayyil,20.4607,45.5779,20.14,12,0,4.23,SA,1709154288
60,cururupu,-1.8283,-44.8683,23.41,99,100,1.45,BR,1709154288
61,lompoc,34.6391,-120.4579,22.08,67,20,4.63,US,1709154288
62,pisco,-13.7,-76.2167,26.03,69,0,10.8,PE,1709154289
63,whitehorse,60.7161,-135.0538,-16.06,68,100,4.12,CA,1709153839
64,puerto ayora,-0.7393,-90.3518,29.98,84,90,6.26,EC,1709154289
65,umm kaddadah,13.6017,26.6876,22.49,11,6,5.57,SD,1709154289
66,soio,-6.1349,12.3689,27.17,92,100,2.65,AO,1709154290
67,sumenep,-7.0167,113.8667,26.21,84,100,0.73,ID,1709154290
68,ginir,7.1333,40.7,20.03,49,94,1.88,ET,1709154149
69,atafu village,-8.5421,-172.5159,28.05,78,65,4.05,TK,1709154290
70,saint-louis,16.3333,-15.0,29.49,11,38,5.01,SN,1709154290
71,klyuchi,52.2667,79.1667,-11.4,94,17,5.06,RU,1709154291
72,nova vicosa,-17.8919,-39.3719,27.31,79,57,4.84,BR,1709154291
73,turinsk,58.0458,63.696,-3.95,91,100,3.37,RU,1709154291
74,pljevlja,43.3333,19.3333,8.42,88,97,1.03,ME,1709154291
75,mercedes,-34.6515,-59.4307,31.13,37,0,2.5,AR,1709153890
76,avarua,-21.2078,-159.775,28.03,69,99,2.06,CK,1709154291
77,ceeldheer,3.8488,47.1806,25.35,78,9,5.64,SO,1709154292
78,puerto natales,-51.7236,-72.4875,17.25,45,40,13.38,CL,1709154156
79,fairhope,30.523,-87.9033,27.86,64,0,3.6,US,1709154245
80,wanxian,30.8039,108.3897,8.58,89,100,2.1,CN,1709154292
81,harper,4.375,-7.7169,27.65,86,80,3.61,LR,1709154292
82,gadzhiyevo,69.2551,33.3362,-0.51,81,100,10.88,RU,1709154293
83,slavyanka,42.8633,131.3847,-1.17,89,100,2.5,RU,1709154293
84,ribeira grande,38.5167,-28.7,17.22,67,75,6.17,PT,1709154293
85,tullahoma,35.362,-86.2094,7.98,60,0,7.2,US,1709154293
86,saipan,15.1355,145.701,24.39,73,40,5.66,MP,1709154294
87,bethel,41.3712,-73.414,13.13,87,100,3.6,US,1709154005
88,port elizabeth,-33.918,25.5701,20.17,83,0,8.23,ZA,1709154192
89,utrik,11.2278,169.8474,26.57,73,63,8.69,MH,1709154294
90,iqaluit,63.7506,-68.5145,-28.15,69,20,2.57,CA,1709154092
91,kirensk,57.7853,108.1119,-15.02,95,100,4.02,RU,1709154295
92,carolina beach,34.0352,-77.8936,23.04,72,84,1.79,US,1709154295
93,iskateley,67.6803,53.1512,-4.99,94,100,5.36,RU,1709154295
94,peniche,39.3558,-9.3811,13.49,86,28,8.91,PT,1709154295
95,protaras,35.0125,34.0583,14.44,66,99,1.79,CY,1709154296
96,belousovka,50.1339,82.5239,-27.22,76,40,0.0,KZ,1709154296
97,piti village,13.4626,144.6933,26.03,78,75,7.72,GU,1709154296
98,nantucket,41.2835,-70.0995,11.03,100,100,11.83,US,1709154296
99,kentville,45.0835,-64.4988,11.01,93,100,6.69,CA,1709154204
100,ushuaia,-54.8,-68.3,11.81,58,20,3.09,AR,1709154296
101,talakan,50.3167,130.3667,-14.96,98,100,1.0,RU,1709154297
102,la ronge,55.1001,-105.2842,-17.86,42,20,1.54,CA,1709154297
103,rio grande,-32.035,-52.0986,26.06,84,99,4.49,BR,1709154196
104,sandnessjoen,66.0217,12.6316,3.06,93,75,5.66,NO,1709154297
105,touros,-5.1989,-35.4608,27.0,81,100,3.69,BR,1709154297
106,lebu,-37.6167,-73.65,16.42,74,85,7.84,CL,1709154298
107,weno,7.4515,151.8468,27.97,89,100,6.17,FM,1709154298
108,bilibino,68.0546,166.4372,-27.89,100,93,0.69,RU,1709154298
